BBL,BldgClass,LotArea,BldgArea,HistDist,Landmark,OwnerName
1004530003,S4,2583,7809,,,ELDORADO HOLDING CORP
1004530004,O9,2583,7620,,,180 SECOND LLC
1004530005,S4,2058,5555,,,NAZARKEWYCH IWAN
1004530006,S9,2067,4881,,,184 SECOND AVE CORP
1004530007,C7,2067,6284,,,O & T ASSOCS. LLC
1004530008,C7,4133,19299,,,188 2 EQUITIES CORP
1004530010,C7,2263,6932,,,SITNYCKY VALENTINA
1004530011,D1,32160,101800,,,"HIGHMOUNT ASSOCIATES,"
1004530034,W1,70764,101100,,,NYC DEPARTMENT OF EDU
1004537501,R4,8397,39174,,,
1004540001,C7,5123,14748,,,301 REALTY ASSOCS
1004540004,C7,6180,24747,,,198-200 WS LLC
1004540007,U4,30691,0,,,VERIZON NEW YORK INC
1004540022,C1,2719,10310,,,324-6 E 13 LLC
1004540023,C1,2719,10310,,,324-6 E 13 LLC
1004540024,C7,4750,19848,,,EASTVILLE REALTY LP
1004540027,C1,2821,11035,,,MANHATTAN 338 CORP
1004540029,C4,2891,11035,,,UANNA LLC
1004540031,C1,2891,11035,,,"PERFECT 13 REALTY,"
1004540032,C1,4336,16752,,,346 EAST 13
1004540034,C7,2168,8090,,,JAFARPARSA
1004540035,C7,2168,8215,,,43 ORCHARD REALTY LLC
1004540036,C7,2723,13550,,,V R V CORP
1004540038,C7,2723,10973,,,SACCARO REALTY CORP
1004540039,S2,1713,3804,,,"LAM, DICK G."
1004540040,M1,1720,2640,,,SLAVIC RLTY CHUR
1004540041,S3,1295,3332,,,12TH & 1ST LLC
1004540042,S3,1295,3740,,,12TH & 1ST LLC
1004540043,S3,1295,3336,,,12TH & 1ST LLC
1004540044,S3,1295,3330,,,12TH & 1ST LLC
1004540045,S4,1505,4546,,,12TH & 1ST LLC
1004540046,S9,3123,6164,,,12TH & 1ST LLC
1004540047,C7,5163,21574,,,339-347 EAST 12TH STR
1004540050,C1,5163,21574,,,339-347 EAST 12TH STR
1004540052,N2,8260,63335,,,DEPARTMENT FOR THE AG
1004540056,C1,2839,13374,,,"TABAK ASSOCIATES,"
1004540057,C7,2779,12804,,,"TABAK ASSOCIATES,"
1004540059,C4,4130,19428,,,"TABAK ASSOCIATES,"
1004540060,C6,5163,21178,,,315 321 APT CORP
1004540063,C6,5162,21178,,,315 321 APT CORP
1004540065,C3,2065,4000,,,JACK T STEWART
1004540066,C6,4182,11054,,ELIZABETH HOME FOR GIRLS,LEEDS HOUSE INC
1004540068,C3,1087,2646,,,"GONZALEZ, THORA DASS"
1004550001,I1,15288,56756,,,EYE & EAR INFIRMARY
1004550005,I2,20707,102314,,,N Y EYE & EAR INFIRMA
1004550007,K1,1705,1699,,,NEW YORK EYE EAR INET
1004550017,C6,2322,5265,,,320 EAST 14TH STREET
1004550018,C6,2323,5496,,,322 E 14 ST OWNERS CO
1004550019,C1,2323,6300,,,SUSAN SASSOUNI
1004550020,G7,2323,0,,,NEW YORK EYE EAR INET
1004550021,C7,4646,18386,,,GOLDEN REALTY CO
1004550023,C7,2323,5406,,,"332 EAST 14TH STREET,"
1004550024,M1,6195,11302,,,TOWN & VILLAGE CONSER
1004550027,C7,2323,7626,,,338 E 14TH REALTY COR
1004550028,Y1,2323,6768,,,FIRE DEPARTMENT
1004550029,P3,20856,48820,,,UNITED JEWISH APPEAL-
1004550033,O1,2595,11149,,,237 FIRST OWNERS LLC
1004550035,S3,1200,3885,,,FIRST AVENUE 233 LLC
1004550036,S3,1200,4205,,,"1ST KAY REALTY, LLC"
1004550037,C7,1200,3740,,,229 FIRST AVE LLC
1004550038,S3,1588,4870,,,227 FIRST RLTY CORP
1004550039,S3,1620,4180,,,"CHIN, TALUNG RAY"
1004550040,S3,1600,4180,,,223 FIRST AVE REALTY
1004550041,S3,1204,3954,,,SOAM INC.
1004550042,C7,1218,6655,,,219 FIRST AVENUE HOLD
1004550043,S3,1038,3672,,,349 EAST 13TH STREET
1004550047,C4,2925,10730,,,LEM LEE 13TH LIMITEDP
1004550048,C4,2925,10730,,,LEM LEE 13TH LIMITEDP
1004550049,C4,2925,10730,,,LEM LEE 13TH LIMITEDP
1004550050,C1,4646,18570,,,329 EAST 13 LLC
1004550052,I4,14255,91615,,,NYEEI HOUSING COMPANY
1004550060,G6,7124,0,,,NY EYE & EAR INFIRMAR
1004560001,Q9,11285,0,,,PARKS DEPARTMENT
1004560007,D9,35772,234610,,,"CVP II, LLC"
1004560029,C7,2477,12388,,,7 SECOND AVENUE HOUSI
1004567501,RM,9860,55583,,,
1004570001,D6,9435,42563,,,EXTRA PLACE HDFC
1004570005,N9,8168,32358,,,GF ASSOCIATES I L P
1004570007,N2,3050,14910,,,GF ASSOCIATES I L P
1004570008,J4,1596,5429,,,319 BOWERY NY LLC
1004570009,H8,11985,560,,,321 BOWERY
1004570020,C1,5614,27600,,,SLOYER-FURMAN INC
1004570028,D6,25839,115187,,,"CVP III, LLC"
1004570029,S4,2282,6590,,,31-33 2ND AVENUE OWNE
1004570030,O9,2190,6570,,,
1004570032,K4,2277,5794,,,29 SECOND AVENUE REAL
1004570033,K2,3504,7014,,,HING SING TRADING INC
1004570128,D6,6434,35598,,,29 EAST 2ND STREET CO
1004577501,RM,4020,23188,,,
1004580001,K4,1787,6624,,,ATLAS BOWERY LLC
1004580002,K4,1919,6350,,,327B EOAG LLC
1004580003,S9,1334,5820,,,"HARMONY TRIO,"
1004580004,N2,5593,23492,,,DHS
1004580006,H2,12204,6764,,,WOODCUTTERS REALTY CO
1004580011,N9,15705,55000,,,DHS
1004580022,C0,1357,3840,East Village/ Lower East Side,,STEVEN M. PASCHALL
1004580023,C0,1311,3680,East Village/ Lower East Side,,ANIL SAHAI & SUDHA SA
1004580024,B9,1311,3680,East Village/ Lower East Side,,"TATUM, SUSAN"
1004580025,B9,1311,3680,East Village/ Lower East Side,,GIOVANNI TESTINO
1004580026,C2,1288,2823,East Village/ Lower East Side,,"GLASS, PHILLIP"
1004580027,C7,4400,5632,East Village/ Lower East Side,,45-47 SECOND AVE CONC
1004580029,K4,2200,16027,East Village/ Lower East Side,,43 SECOND AVENUE LLC
1004580030,Z8,21800,21800,,NEW YORK MARBLE CEMETERY,CITY OF NEW YORK
1004580031,O8,1635,6845,East Village/ Lower East Side,,"ZUBRINSKI & CO., LLC"
1004580032,C6,3263,14376,East Village/ Lower East Side,,32-34 E 2ND ST (HDFC)
1004580034,B1,1638,6132,East Village/ Lower East Side,,30 EAST 2ND ST CORP
1004580035,B1,1526,3888,East Village/ Lower East Side,,"JOHNSTON, MARGO"
1004580038,K1,2519,2732,,,"MORGAN BUILDERS, INC"
1004580040,Q9,1407,0,,,THE MANHATTAN LAND TR
1004580041,Q9,1675,0,,,THE MANHATTAN LAND TR
1004580042,C0,1650,3680,,,"LEACH, PATRICK J"
1004580043,A5,1536,3719,,,"CASTELLI, JEAN-CHRIST"
1004580044,A9,1600,3052,,,OHAYON JOSEF
1004580045,S2,1600,6312,,,SMITH CHARLES H
1004580046,C3,1602,6420,,,ADBER ASSOCIATES
1004580047,S2,1280,5920,,,"TESSERES PETRES, LLC"
1004581101,,0,0,,,
1004587501,R1,2836,7742,East Village/ Lower East Side,,
1004590001,M2,4937,8308,,,"347 BOWERY OWNER, LLC"
1004590005,C7,3060,6281,,,"HO, BO YOK"
1004590007,C1,1662,5676,,,SWANN INGO
1004590008,K4,2657,8622,,,WESTAME PROPERTIES CO
1004590010,B1,1021,2420,,,ROSENBERG FAMILY 2012
1004590012,C7,2880,12045,East Village/ Lower East Side,,EAST MANHATTAN HOLDIN
1004590014,C7,2402,9500,East Village/ Lower East Side,,COOPER SQ. HOUSING DE
1004590015,C7,2500,11698,East Village/ Lower East Side,,COOPER SQUARE MUTUALH
1004590016,C7,2808,13500,East Village/ Lower East Side,,COOPER SQUARE MUTUALH
1004590017,J7,4808,12500,East Village/ Lower East Side,,THE ROD RODGERS & DUO
1004590018,J7,2633,7500,East Village/ Lower East Side,,CHOICIRCIATI CULTURAL
1004590019,P5,9617,38000,East Village/ Lower East Side,,66-68 E 4TH STREET EN
1004590021,O9,2708,6750,East Village/ Lower East Side,,70 EAST 4TH CULTURAL
1004590022,K2,2404,4829,East Village/ Lower East Side,,NEW YORK THEATER WORK
1004590023,J5,2325,7000,East Village/ Lower East Side,ASCHENBROEDEL VEREIN BUILDING,LA MAMA E T C
1004590028,S9,1440,5772,East Village/ Lower East Side,,"G & L ROYALTY, INC."
1004590029,D9,11002,45426,East Village/ Lower East Side,,ZEZR    .
1004590031,C7,2400,8391,East Village/ Lower East Side,,61 MEATH REALTY CORP
1004590032,D9,4808,36720,East Village/ Lower East Side,,57-59 SECOND AVE CORP
1004590034,C7,2400,11984,East Village/ Lower East Side,,ANDREA WILLIAMS AS CO
1004590035,C7,2400,13464,East Village/ Lower East Side,,EAST VILLAGE REALTY C
1004590036,C7,2000,10500,East Village/ Lower East Side,,COOPER SQ. HOUSING DE
1004590037,C4,2383,10625,East Village/ Lower East Side,,COOPER SQUARE MUTUAL
1004590038,C4,2438,11000,East Village/ Lower East Side,,COOPER SQUARE MUTUAL
1004590039,C7,2404,11700,East Village/ Lower East Side,,COOPER SQUARE MUTUAL
1004590040,G7,2100,0,East Village/ Lower East Side,,70 EAST 4TH CULTURAL
1004590043,C4,2175,7500,East Village/ Lower East Side,,COOPER SQUARE MUTUAL
1004590045,C4,2084,8750,East Village/ Lower East Side,,COOPER SQ. HOUSING DE
1004590046,C6,2404,10000,East Village/ Lower East Side,,7 E 3RD ST HOUSING DE
1004590048,C3,3847,3140,,,THREE EAST THIRD CORP
1004597501,RM,2404,16493,,,
1004597502,RM,5793,26790,,,
1004600001,D9,22270,122689,,,COOPER SQUARE HOUSING
1004600019,C1,2308,6853,East Village/ Lower East Side,,S MAZEWSKI
1004600020,C7,2404,7356,East Village/ Lower East Side,,218 EAST 5TH STREETAS
1004600023,M1,3824,5956,East Village/ Lower East Side,,AHRC NYC NEW PROJECTS
1004600025,C5,1908,2832,East Village/ Lower East Side,,228 E. 5TH STREET REA
1004600026,C0,1939,2832,East Village/ Lower East Side,,KATHRYN FELDMAN
1004600027,C2,2020,4884,East Village/ Lower East Side,,"MCCALLION, PETER   TR"
1004600028,C2,2020,6155,East Village/ Lower East Side,,A&W MYCAK LLC
1004600029,C1,6059,25002,East Village/ Lower East Side,,RENAISSANCE 236 E. 5T
1004600032,C0,1600,3486,East Village/ Lower East Side,,MARY C EVANS
1004600033,C0,1620,3760,East Village/ Lower East Side,,"YAMAOKA, CARRIE"
1004600034,S3,1307,5307,East Village/ Lower East Side,,85 SECOND AVENUE REAL
1004600035,S4,1600,7885,East Village/ Lower East Side,,COOPER SQUARE MUTUALH
1004600036,S9,1600,4200,East Village/ Lower East Side,,81 2 AVE CORP
1004600037,C7,4760,16230,East Village/ Lower East Side,,77 SECOND LLC
1004600039,C4,2000,5542,East Village/ Lower East Side,,"SASSOUNI, NEJATOLLAH"
1004600040,C7,1854,8075,East Village/ Lower East Side,,73 SECOND AVENUE REA
1004600041,S5,1854,8015,East Village/ Lower East Side,,DJ INTERNATIONAL REAL
1004600042,C7,1848,8775,East Village/ Lower East Side,,69 SECOND AVENUE LLC
1004600043,C7,1696,4700,East Village/ Lower East Side,,"87 E 4 ST REALTY, INC"
1004600044,J5,2405,5958,East Village/ Lower East Side,,CULTURE HOUSE 85 E 4T
1004600045,J5,2404,7800,East Village/ Lower East Side,,NEW YORK THEATRE WORK
1004600046,J5,4808,4800,East Village/ Lower East Side,,NEW YORK THEATRE ETC
1004600048,C7,2404,12900,East Village/ Lower East Side,,COOPER SQUARE HOUSING
1004600049,C7,2500,13200,East Village/ Lower East Side,,COOPER SQUARE HOUSING
1004600050,C7,2500,13200,East Village/ Lower East Side,,COOPER SQUARE HOUSING
1004600051,C4,2500,13200,East Village/ Lower East Side,,COOPER SQUARE MUTUALH
1004600052,C7,2500,13200,East Village/ Lower East Side,,COOPER SQUARE MUTUAL
1004600053,C7,2500,13200,East Village/ Lower East Side,,COOPER SQUARE MUTUAL
1004600054,C7,2500,13200,East Village/ Lower East Side,,COOPER SQ. HOUSING DE
1004600055,C7,2500,11250,East Village/ Lower East Side,,COOPER SQ. HOUSING DE
1004600056,P5,4809,32000,East Village/ Lower East Side,,"ARC ON 4TH STREET, IN"
1004600059,C4,2404,12450,East Village/ Lower East Side,,COOPER SQ. HOUSING DE
1004600133,S1,320,960,East Village/ Lower East Side,,"BONSIGNORE, JOHN"
1004607501,R1,3870,8706,East Village/ Lower East Side,,OWNER / AGENT
1004607502,RM,7680,27445,East Village/ Lower East Side,,
1004610003,H2,11662,4716,,,33 COOPER SQUARE ASSO
1004610006,V1,4837,0,,,COOPER AND 6TH PROPER
1004610009,C7,3946,14075,,,BLANAROVICH SONYA
1004610011,C7,2425,9568,,,LEAMAS REALTY LLC
1004610012,C7,4850,20182,,,208-210 WS LLC
1004610014,E1,4850,8356,,,SANGAM HOLDINGS LLC
1004610016,C7,2425,8840,,,KELLYCO LLC
1004610017,C4,2426,9380,,,218 EAST 6TH STREETAS
1004610018,P7,7275,16479,,,UKRAINIAN MUSEUM
1004610021,C1,2425,9480,East Village/ Lower East Side,,LEW REALTY LLC
1004610022,C7,2425,10510,East Village/ Lower East Side,,TABAK ASSOCIATES LLC
1004610023,C4,2425,8940,East Village/ Lower East Side,,BOHDAN J CHABAN
1004610024,D4,4850,22266,East Village/ Lower East Side,,232 EQUITIES CORP
1004610028,C7,2546,11193,East Village/ Lower East Side,,ADELINE RESIDENCES IN
1004610029,S5,2456,8379,East Village/ Lower East Side,,"99 SECOND REALTY, L.L"
1004610030,C7,2599,10948,East Village/ Lower East Side,,97 2ND LLC
1004610031,S4,2494,7719,East Village/ Lower East Side,,"IN GROUP,    ."
1004610032,S4,2425,6873,East Village/ Lower East Side,,LEEDA REALTY LLC
1004610033,C7,2425,7982,East Village/ Lower East Side,,"EASTERN GROUP,"
1004610035,C7,4850,26460,East Village/ Lower East Side,,"UNITED EAST, LLC"
1004610037,C7,2910,12203,East Village/ Lower East Side,,"237 EAST REALTY,"
1004610039,C4,2425,9240,East Village/ Lower East Side,,"MORTON TABAK & CO.,"
1004610040,C4,2425,9140,East Village/ Lower East Side,,"MORTON TABAK & CO.,"
1004610041,C7,2425,7255,East Village/ Lower East Side,,"MORTON TABAK & CO.,"
1004610042,C4,2425,9245,East Village/ Lower East Side,,"MORTON TABAK & CO.,"
1004610043,C4,2425,9245,East Village/ Lower East Side,,TRES TWO
1004610044,C7,2425,9825,East Village/ Lower East Side,,SAELIDAB REALTY CORP
1004610045,C7,2425,9320,East Village/ Lower East Side,,"MORTON TABAK & CO.,"
1004610046,C1,2425,10688,East Village/ Lower East Side,,LEAMAS REALTY LLC
1004610047,C1,2425,9190,East Village/ Lower East Side,,STEPROS REALTY CORP
1004610049,C4,2425,9455,East Village/ Lower East Side,,TRES TWO
1004610050,C4,2425,9455,East Village/ Lower East Side,,TRES TWO
1004610051,C7,2425,7380,East Village/ Lower East Side,,MARKSUE REALTY CORP
1004610052,C7,2425,10005,East Village/ Lower East Side,,MARKSUE REALTY CORP.
1004610053,C1,2910,12243,East Village/ Lower East Side,,"207 EAST 5TH STREET,"
1004617501,R1,2449,8296,East Village/ Lower East Side,,VILLA EAST CONDOMINIU
1004617502,RD,2426,10188,East Village/ Lower East Side,,217 EAST 5TH ST CONDO
1004620001,W6,18175,180000,,,D C A S
1004620004,M1,13428,59732,,,ORDER-ST BASIL THE GR
1004620007,M1,10444,51300,,,ORDER-ST BASIL THE GR
1004620015,C7,2218,9708,,,SEVENTH STREET PROPER
1004620016,C7,2218,9684,,,SEVENTH STREET PROPER
1004620017,C1,2218,10536,,,GARFUNKEL & TAUSTER C
1004620018,H8,8652,0,,,NEW YORK UNIVERSITY
1004620022,C4,1195,4675,East Village/ Lower East Side,,NASHER REALTY CORP.
1004620023,S9,1517,6170,East Village/ Lower East Side,,117 2 AVE CORP
1004620024,K4,1470,3444,East Village/ Lower East Side,,PEARL ROTH RLTY INC.
1004620025,W6,9008,43214,East Village/ Lower East Side,,NEW YORK UNIVERSITY
1004620029,O9,2400,9600,East Village/ Lower East Side,,"EMIGRANT BANCORP, INC"
1004620030,C7,2500,12140,East Village/ Lower East Side,,DUE MILLA REALTY GROU
1004620035,D1,17727,91680,,,PHILMORE EAST VILLAGE
1004627501,RM,8853,88500,,,
1004630001,M1,3139,12556,,METROPOLITAN SAVINGS BANK,UKRAINIAN EVANGELICAL
1004630007,H3,6216,6216,,,2 ST.MARKS PL HOTELCP
1004630011,K4,3120,10036,,HAMILTON-HOLLY HOUSE,48  MARKS PLACE REAL
1004630012,K2,3120,15600,,,KUNBING INC.
1004630013,C7,3120,12080,,,TARGET REALTY LLC
1004630014,C1,3120,10840,,,JEANETTE SPATZ
1004630015,K4,3120,13608,,GERMAN-AMERICAN SHOOTING CLUBHOUSE,TWELVE M INC
1004630016,C5,3420,10140,,,AFRICAN AMERICAN CO.
1004630017,C7,3120,11908,,,"16 SAINT MARKS PLACE,"
1004630018,C7,3120,7566,,,18 ST MARKS PLACE TRI
1004630019,S9,3120,6162,,20 SAINT MARK'S PLACE,ST MARKS BROS INC
1004630020,C7,3120,11400,,,22 ST MARK S PLACE LP
1004630021,C7,3120,12374,,,24 ST MARKS TL LLC
1004630022,C7,3120,11900,,,A. B. ILIBASSI REALTY
1004630023,C7,3120,7700,,,"ST. MARKS ASSETS, INC"
1004630024,C7,3120,14141,,,"ST. MARKS ASSETS, INC"
1004630025,C7,3120,11637,,,"ST. MARKS ASSETS, INC"
1004630026,C7,3120,11713,,,"ST. MARKS ASSETS, INC"
1004630027,C7,1840,7692,,,233 WEST 16TH STREET
1004630028,C7,4000,17518,East Village/ Lower East Side,,SECOND AT ST MARKS PA
1004630030,C7,2600,12393,East Village/ Lower East Side,,SECOND AT ST MARKS PA
1004630031,C7,2600,12399,East Village/ Lower East Side,,SECOND AT ST MARKS PA
1004630032,C7,3360,18438,East Village/ Lower East Side,,BOHDANOWYCZ ROMAN
1004630033,S9,2500,9210,East Village/ Lower East Side,,GEORGE PASTERNAK
1004630034,S4,2500,8460,East Village/ Lower East Side,,MAH REALTY LLC
1004630035,C7,2500,11960,East Village/ Lower East Side,,KIEV REALTY LLC
1004630036,C7,3750,15108,East Village/ Lower East Side,,EAST 7TH STREET ASSOC
1004630038,C2,1875,7050,East Village/ Lower East Side,,ROMILLY  CONSTANCIA
1004630039,S9,1875,7475,East Village/ Lower East Side,,FIRST ESTATE
1004630040,S5,1875,5520,East Village/ Lower East Side,,JULIANA OSINCHUK
1004630041,P2,1875,4977,East Village/ Lower East Side,,ORDER OF ST BASIL THE
1004630042,O9,1950,6292,East Village/ Lower East Side,,HEBREW ACTORS UNION
1004630043,C7,1938,8055,East Village/ Lower East Side,,"CHABAN, MARIA"
1004630044,C1,1958,8160,East Village/ Lower East Side,,27 E. 7TH ST LLC
1004630045,C4,1950,8110,East Village/ Lower East Side,,ROXANA CHEMYCH
1004630046,C7,3900,14400,East Village/ Lower East Side,,COOPER PARTNERS
1004630048,C7,1950,8710,East Village/ Lower East Side,,19 EAST 7 GROUP L.P.
1004630049,C5,1950,7280,East Village/ Lower East Side,,"LAVECCHIA, MARIETTA"
1004630050,C7,1950,7270,East Village/ Lower East Side,,"15 E. 7TH STREET, LLC"
1004630051,C7,1950,7280,East Village/ Lower East Side,,BLDG 7TH STREET LLC
1004630052,C7,1950,7430,East Village/ Lower East Side,,SURMACH CAPITAL LLC
1004637501,RM,5075,30340,,,COOPER SQUARE CONDOMI
1004640001,S9,2200,3980,,,GABAY & AMERI II LLC
1004640003,K1,2960,2960,,,GABAY & AMERI II LLC
1004640006,K2,8775,18164,,,COOPER UNION FOR THE
1004640013,C7,2808,11345,,,206 E. 9TH STREET LLC
1004640015,S4,1575,3729,,,210 E. 9TH STREET LLC
1004640016,K4,1350,3564,,,"212 E.9TH STREET,LLC"
1004640019,S2,1575,4914,,,HOLLANDER 9TH STREETR
1004640020,G1,7875,22460,,,PENBER 9TH STREET GAR
1004640025,K4,3150,12600,,,"ROYAL ENTERPRISES, IN"
1004640027,G9,1192,2384,,,VINCENT PEDONE
1004640031,V1,1160,0,,,DROBENKO BROS RLTY IN
1004640032,C7,2186,4068,,,DROBENKO BROS RLTY IN
1004640033,C7,2104,9180,,,"VK REALTY,"
1004640034,C7,3485,17200,,,141-143 SECOND AVENUE
1004640036,C7,2790,12822,,,"BACZYNSKY, JULIAN"
1004640037,O9,5980,17066,,"NY FREE CIRC LIB, OTTENDORFER BR",LOWER EAST SIDE EQUIT
1004640039,P8,2400,5066,,,OTTENDORFER LIBRARY
1004640043,C7,2934,8835,,,"TJM,"
1004640044,C7,2912,9860,,,SAMARIO LLC
1004640045,C4,2934,5704,,,ST. CLARKS PROPERTIES
1004640046,C7,2934,13170,,,"MORTON TABAK & CO.,"
1004640047,S9,2934,9659,,,"K-MARKS REALTY, LLC"
1004640048,K2,8801,15851,,,19-23 ST. MARKS ASSOC
1004640051,C7,2934,12861,,,"GIOIA PROPERTIES, IN"
1004640054,C7,2934,11200,,,11 ST. MARKS ASSOCS.
1004640055,S4,3616,9544,,,9 ST MARKS PL INC
1004640057,C7,1626,10216,,,SEA ASSOCS.
1004640058,C7,2375,8845,,,SAND REALTY LLC C/O O
1004640059,K1,1761,1795,,,EDWARD GABAY
1004640132,K1,112,220,,,238A E 9 ST. LLC
1004640152,C7,2934,13375,,,"GIOIA ST MARKS, LLC"
1004647501,RM,3375,17431,,,ROYAL STUYVESANT COND
1004647502,RM,2934,11368,,,
1004647503,RM,5748,20641,,,
1004648048,D4,8801,25068,,,19-23 ST MARKS ASSOCI
1004649006,H8,8775,0,,,COOPER UNION ADVANCEM
1004649048,D4,8801,12300,,,19-23 ST MARKS ASSOCI
1004650001,H8,27583,146583,,,NEW YORK UNIVERSITY
1004650009,B9,893,2736,St. Mark's Extension,,"FRIEDMAN-KLEIN, ALVIN"
1004650010,C5,1373,4144,St. Mark's,,106 & 110 EAST TENTH
1004650011,B9,1311,4136,St. Mark's,,"108 BROTHERS, LLC"
1004650012,C5,1401,4144,St. Mark's,,1106 & 110 EAST TENTH
1004650013,C4,1128,4990,St. Mark's,,PIERRE ROUGIER
1004650014,B9,972,3440,St. Mark's,,BASSET PROPERTIES LLC
1004650015,C0,918,3780,St. Mark's,,"LEVY, DANIEL"
1004650016,C0,918,3580,St. Mark's,,SC SEDGWICK LLC
1004650017,C2,980,3200,St. Mark's,,CANDIDE PROPERTIES LL
1004650018,C6,1294,3769,St. Mark's,,A B T RLTY INC
1004650019,A9,630,2700,St. Mark's,,"MILLER, DAVID"
1004650020,C2,612,2887,St. Mark's,,"CARLUCCI, ROCCO"
1004650021,C2,708,3675,St. Mark's,,TCH 10TH ST LLC C/O
1004650022,B9,498,2560,St. Mark's,,"CARLUCCI, ROCCO"
1004650023,B9,640,3060,St. Mark's,,"KUPTAMETHEE, SIRIROJ"
1004650024,B9,627,2850,St. Mark's,,"MURPHY, MICHAEL"
1004650025,A5,779,2850,St. Mark's,,THE DAVIE J. LERNER
1004650026,A9,832,3360,St. Mark's,,WOODSIDE HIGHLANDS LL
1004650027,A9,928,3360,St. Mark's,,"SORIANO, PETER"
1004650028,C0,976,3360,St. Mark's,,BETH  FLUSSER
1004650029,O9,2065,6500,St. Mark's,NICHOLAS AND ELIZABETH S FISH HOUSE,COOPER UNION FOR THEA
1004650030,C1,2800,10850,,,TRES REALTY LCC
1004650032,C7,3320,13650,,,TRES REALTY LCC
1004650037,W4,4932,25800,,,NEW YORK UNIVERSITY
1004650043,B9,1241,3160,St. Mark's,,"GINGERAS, ALISON"
1004650044,A9,1560,3384,St. Mark's,,HARRY F. SMITH QUALIF
1004650045,C3,794,3244,St. Mark's,,STUYVESANT STUDIOS CO
1004650046,C1,1912,8827,,,STUYVESANT 48 LLC
1004650047,D9,2658,17795,,,"SASHA REALTY,"
1004650048,S9,2250,7032,,,"157 SECOND AVENUE, LL"
1004650049,S4,1508,4457,,,"DISALVO, VINCENT"
1004650050,C7,5437,22336,,,151-153 SECOND AVENUE
1004650053,S5,4104,7743,,,147-149 SECOND AVENUE
1004650055,D9,4147,25340,,,"145 SECOND AVENUE, LL"
1004650057,C1,2596,12072,,,"STECK, ULANA"
1004650058,K4,1633,3083,,,IRVING GOLDSTEIN
1004650059,K4,1450,2836,,,229 EAST 9TH ST.
1004650109,C3,900,2880,St. Mark's Extension,,NORTH SYDNEY LLC
1004657501,R2,3131,12921,,,THE STUYVESANT ST CON
1004660005,D7,13147,71356,,,BENCHMARK 55 LP
1004660012,M1,3420,2664,,,ALL SAINTS UKRAINIAN
1004660014,C2,1710,5400,,,"HENDERSON III, ISAAC"
1004660015,C2,1710,4608,,,KNAFO JUDITH
1004660016,D9,3467,13764,,,E B D ASSOCIATES
1004660018,C1,4085,17136,,,KALATA BOZENA
1004660020,C6,2043,6129,,,222-11 APT OWNER CORP
1004660021,C6,4085,16916,,,224 226 AVE CORP
1004660023,C2,1493,4172,,,BOUWERE TENANTS CORP
1004660024,B9,1493,3772,,,230 EAST 11 STREET LL
1004660025,M3,3001,3532,St. Mark's,,ST MARKS PROT EPIS CH
1004660026,M1,36537,12710,St. Mark's,SAINT MARK'S-IN-THE-BOWERY CHURCH,ST MARKS PROT EPIS CH
1004660043,C1,2700,12312,St. Mark's,,129 LLC
1004660044,C4,2300,6273,St. Mark's,,MARKO GNANN
1004660045,A9,1324,3625,St. Mark's,,125 EAST 10TH STREET
1004660046,A7,1324,3225,St. Mark's,,"YOUNG, ROBERT AARON"
1004660047,D4,2364,13000,St. Mark's,,121 OWNERS CORP
1004660048,C6,12555,27111,St. Mark's,,111 EAST 10TH ST INC
1004660054,C1,4492,16550,,,"WALDEN POND REALTY,LL"
1004660056,D4,3027,15600,,,3 10 TENANTS HOUSING
1004667501,RM,6726,41323,,,"47 THIRD VENTURE,LLC"
1004670001,H8,36022,337600,,,NEW YORK UNIVERSITY
1004670015,C1,2130,9025,,,ONE-ARAB TRADE CENTER
1004670016,C5,2130,5500,,,MAMAISON 214 LLC
1004670017,C4,2272,6560,,,216 EAST 12TH ST OWNE
1004670018,C2,2308,5958,,,THE KWAK LIMITED PART
1004670019,C6,2485,9950,,,220 E 12TH ST OWNERS
1004670020,C5,2485,5226,,,222 EAST 12 REALTY LL
1004670021,S5,2485,8963,,,CONGREGATION KHAL CHA
1004670022,D4,7029,56845,,,226-230 EAST 12TH ST.
1004670025,D6,8307,65602,,,"CAPRI APARTMENTS,"
1004670031,J9,12077,59225,,LOUIS N JAFFE ART THEATER,"SENYAR HOLDING, LLC"
1004670035,D9,11903,49227,,,14 L. PIERRE ASSOCIAT
1004670046,C2,2550,7996,,,ISAACS MAX
1004670047,C7,2550,12024,,,K&T REALTY ASSOCIATES
1004670048,C1,2550,5332,,,"GABAY REALTY, LLC"
1004670049,C5,2550,6830,,,LOZYNSKYJ ASKOLD S
1004670050,C5,3400,7480,,,MIZMAR LIMITED LIABIL
1004670052,B9,1700,4675,,,"KUBERSKY, ALICIA"
1004670053,B9,1275,3300,,,"YUNKERS, DORE ASHTON"
1004670054,A9,1275,3615,,,"ARONOFSKY, DARREN"
1004670055,C1,2550,10648,,,TRES REALTY LLC
1004670056,C4,2800,10648,,,"211 EAST 11, LLC"
1004677501,RM,11200,29182,,,235 EAST 11 STREET CO
1004680001,D7,20662,92304,,,"AMDAR COMPANY, LLC"
1004680004,C7,5201,21585,,,FAMECO LLC
1004680007,C7,5929,25000,,,EV 1ST AVENUE PROPERT
1004680011,S3,1771,5520,,,99-105 THIRD AVENUERE
1004680012,C2,1704,3648,,,WIGGINS NOEL
1004680013,D5,3200,14022,,,"208 E. 13TH STREET, L"
