BBL,BldgClass,LotArea,BldgArea,HistDist,Landmark,OwnerName
1000110011,K4,1314,6000,,,VERVELIS INC
1000110012,K4,1260,5046,,,24 BEAVER STREET LLC
1000110014,D4,2907,51387,,,BEAVER TOWERS INC
1000110015,O9,3060,19478,,AMERICAN BANK NOTE CO.OFFICE BLDG,"70 BROAD, LLC"
1000110017,O9,3287,21216,,,74 BROAD LLC
1000110021,O3,13135,361710,,,BSD 80 BROAD LLC
1000110026,K4,1640,4920,,,"88 BROAD STREET,"
1000110028,,0,0,,,
1000110029,O9,3623,17425,,,"PREMIER EMERALD, LLC"
1000117501,RM,2242,9132,,,
1000120001,P7,63805,320665,,UNITED STATES CUSTOM HOUSE,U.S. CUSTOMS AND BORD
1000120028,Q1,22500,0,,BOWLING GREEN FENCE,PARKS AND RECREATION
1000130001,O3,17025,180646,,INTRNL MERCANTILE MARINE CO BLDG,LOGANY
1000130005,O3,28814,434220,,BOWLING GREEN OFFICES BUILDING,BOWLING GREEN ASSOCIA
1000130027,O3,48071,809401,,CUNARD BUILDING,25 BROADWAY OFFICE PR
1000150022,D8,13465,335746,,21 WEST STREET,WEST EDEN
1000157501,RM,64633,1257274,,THE WHITEHALL BLDG,17 BATTERY PLACE COND
1000157502,RM,13928,178748,,DOWNTOWN ATHLETIC CLUB,THE DOWNTOWN CLUB CON
1000160001,Y7,83100,28732,,,CITY OF NEW YORK
1000160003,Z9,2499209,3000,,,NYC DOT
1000160010,P7,64432,114100,,,MUSEUM OF JEWISH HERI
1000160012,Z6,237948,0,,,PARKS AND RECREATION
1000160015,D8,31141,239165,,,DEMATTEIS BATTERY PAR
1000160020,D8,29700,230765,,,NY URBAN LLC
1000160040,W1,24337,134082,,,OWNER / AGENT
1000160100,D6,220732,1881621,,,CITY OF NEW YORK
1000160120,O4,94530,1501878,,,WFP TOWER A CO. G.P.
1000160125,O4,199346,2267925,,,WFP TOWER B CO LP
1000160140,O4,82617,2249866,,,"BFP TOWER C CO., LLC"
1000160150,O4,103028,2084079,,,WFP TOWER D CO LP
1000160160,T2,154151,0,,,BATTERY PARK CITY AUT
1000160180,D8,16653,356786,,,
1000160185,D8,14451,278141,,,
1000160190,D8,14500,331500,,,ROCKROSE GENERAL EQUI
1000160195,D8,18270,356483,,,
1000160200,D8,38225,484000,,,BATTERY PARK CITY AUT
1000160205,D8,19600,239185,,,BROOKDALE DEVELOPMENT
1000160210,D8,10292,357000,,,TRIBECA POINTE LLC
1000160215,W1,60085,450000,,,NYC DEPT OF EDUCATION
1000160220,Z9,28206,105177,,,DEPT OF SMALL BUSINES
1000160221,D8,6323,244617,,,TRIBECA NORTH END LLC
1000160225,O4,42342,502000,,,BOP ONE NORTH END LLC
1000160260,O4,97076,2152863,,,GOLDMAN SACHS HEADQUA
1000167501,RM,16951,179174,,,LIBERTY HOUSE CONDOMI
1000167502,R4,27838,123284,,,HUDSON TOWER
1000167503,RM,12644,86763,,,HUDSON VIEW E CONDOMI
1000167504,RM,16108,72913,,,AKAM ASSOCIATES
1000167505,RM,23910,203837,,,LIBERTY TERRACE CONDO
1000167506,RM,15000,81667,,,SOUNDINGS CONDOMINIUM
1000167507,RM,25978,106271,,,BATTERY POINTE CONDOM
1000167508,RM,37248,428589,,,LIBERTY COURT CONDOMI
1000167509,RM,45203,194762,,,REGATTA CONDOMINIUM
1000167510,RM,24167,251350,,,LIBERTY VIEW CONDOMIN
1000167511,RM,29850,157584,,,COVE CLUB CONDO
1000167512,RC,79338,215884,,,
1000167513,RM,46266,523677,,,
1000167514,RM,20763,344863,,,MILLENIUM TOWER RESID
1000167515,RM,34776,250738,,,
1000167516,RM,30713,507070,,,
1000167517,RM,35352,407665,,,THE VISIONAIRE CONDOM
1000167518,RM,28721,230066,,,
1000167519,RM,17353,233010,,,
1000167520,RM,32218,377325,,,LIBERTY LUXE CONDOMIN
1000169220,Z9,0,0,,,
1000170018,D6,17966,527901,,,50 WEST DEVELOPMENT L
1000170029,D5,23902,325514,,,"EKATZ FAMILY, LLC"
1000170045,T9,67342,112000,,,MTA BRIDGES & TUNNELS
1000170118,Z9,120,0,,,50 WEST DEVELOPMENT L
1000177502,RM,2967,33185,,,
1000180100,T9,183456,193026,,,NEW YORK STATE OWNED
1000187501,RM,24470,366124,,,GREENWICH CLUB RESIDE
1000190008,Z9,71,0,,,MTA B&T
1000190011,C7,2913,10356,,ROBERT & ANNE DICKEY HOUSE,SYMS CORP.
1000190013,K3,11470,62089,,,SYMS CORP
1000190018,S9,1968,14250,,,44 TRINITY PLACE LLC
1000190019,O9,4100,20500,,,"46 TRINITY PLACE, LLC"
1000190021,K2,1329,3999,,,"11 RECTOR STREET, LLC"
1000190024,V1,3758,0,,,"TRINITY NYC HOTEL, LL"
1000200001,O3,14490,316150,,,TRINITY MORRIS CORP
1000200004,O3,17440,447452,,,39 CAM LLC
1000200009,O4,15529,368315,,,45 BROADWAY LLC
1000200012,K4,5122,24170,,,47 BWAY ACQUISITION C
1000200013,K9,5122,17250,,,49 BROADWAY
1000200016,O3,15722,309381,,,55 BROADWAY ASSOCIATE
1000210001,O3,22197,650740,,,RXR 61 BROADWAY OWNER
1000210004,O3,16716,335184,,AMERICAN EXPRESS COMPANY BUILDING,NEW 65 BRODWAY DELL L
1000210006,D5,13967,303086,,EMPIRE BUILDING,"EQR-71 BROADWAY A, L."
1000220013,O4,46055,860889,,STANDARD OIL BUILDING,BROADWAY 26 WATERVIEW
1000220017,O3,9372,143000,,,"32-42 BROADWAY OWNER,"
1000220020,O3,21490,389927,,,"32-42 BROADWAY OWNER,"
1000220024,O4,13323,300676,,,50 BROADWAY REALTY CO
1000220028,O4,18640,345540,,,RB 52 CO.
1000230007,O4,42178,1165659,,1 WALL STREET,MIP ONE WALL STREET A
1000230019,O3,31350,240279,,NEW YORK STOCK EXCHANGE,NEW YORK STOCK EXCHAN
1000230050,O3,19975,466820,,NEW YORK STOCK EXCHANGE,NY STOCK EXCHANGE BLD
1000240001,O3,44757,974958,,,WELLS 60 BROAD STREET
1000240019,O9,2268,15995,,,42 NEW ST INC
1000240029,O4,13220,370000,,,GOTHAM BROAD LLC
1000240036,O3,13971,205940,,,FIFTY NEW STREET INC
1000247501,RM,16100,238157,,,
1000250001,O3,23132,406025,,,55 BROAD STREET COMPA
1000250007,V1,13202,0,,,45 BROAD STREET L/CAL
1000250010,W8,11110,91553,,,WALWILHAL ASSOCIATES
